prd.mystore.in
🔍 Finding orders to send on_status...
📅 From date: 2025-05-01
📦 Found 129 order(s) to process.

+-----+--------------------------+----------+------------------+-----------+--------------------+
| #   | ONDC Order ID            | Order ID | Created At       | Status    | Fulfillment Status |
| 58  | 683d5b2a0f52f03c914e0d37 | 1462     | 2025-06-02 13:35 | completed | Order-delivered    |
| 59  | 683d5ae43694e1a5281a4504 | 1461     | 2025-06-02 13:34 | completed | Order-delivered    |
| 60  | 683d5a3e767d1d96c9b0f055 | 1460     | 2025-06-02 13:31 | completed | Order-delivered    |
| 61  | 683d59ff0f52f03c914dc050 | 1459     | 2025-06-02 13:30 | completed | Order-delivered    |
| 62  | 683d59b7ac56d4d5018e8659 | 1458     | 2025-06-02 13:29 | completed | Order-delivered    |
| 63  | 683d5978cfa476647ab7ce16 | 1457     | 2025-06-02 13:28 | completed | Order-delivered    |
| 64  | 683d592fe8ec25f1cd2fa176 | 1456     | 2025-06-02 13:26 | completed | Order-delivered    |
| 65  | 683d5830767d1d96c9b06266 | 1455     | 2025-06-02 13:22 | completed | Order-delivered    |
| 66  | 683d57e00114bb52cade9abe | 1454     | 2025-06-02 13:21 | completed | Order-delivered    |
| 67  | 683d5785a0ea41ce6b47a5c9 | 1453     | 2025-06-02 13:19 | completed | Order-delivered    |
| 68  | 683d566ba0ea41ce6b475c48 | 1452     | 2025-06-02 13:15 | completed | Order-delivered    |
| 69  | 6839923553cc9d6a3c0c0822 | 1436     | 2025-05-30 16:41 | completed | Order-delivered    |
| 70  | 68381a645138589b26ec5bfa | 1435     | 2025-05-29 13:57 | completed | Order-delivered    |
| 71  | 6835a2f044051317b556a257 | 1434     | 2025-05-27 17:03 | completed | Order-delivered    |
| 72  | 68346c6411d4ed0be1c73961 | 1433     | 2025-05-26 18:58 | completed | Order-delivered    |
| 73  | 68258dc9ff283c3dd20a2513 | 1432     | 2025-05-15 12:16 | completed | Order-delivered    |
| 74  | 68258d6559f5565129fdd3eb | 1431     | 2025-05-15 12:15 | completed | Order-delivered    |
| 75  | 68258cedd5798c9143442378 | 1430     | 2025-05-15 12:13 | completed | Order-delivered    |
| 76  | 68258c0498e9e08283afea79 | 1429     | 2025-05-15 12:09 | completed | Order-delivered    |
| 77  | 68258af40734396c8e3a628a | 1428     | 2025-05-15 12:04 | completed | Order-delivered    |
| 78  | 68258a7c03c470d6b5583aba | 1427     | 2025-05-15 12:02 | completed | Order-delivered    |
| 79  | 68258a162740815c99656d9d | 1426     | 2025-05-15 12:01 | completed | Order-delivered    |
| 80  | 68258902fd0e50ba0c4aafbc | 1425     | 2025-05-15 11:56 | completed | Order-delivered    |
| 81  | 682587ee316aeffe4efd0863 | 1424     | 2025-05-15 11:52 | completed | Order-delivered    |
| 82  | 68258796316aeffe4efcefec | 1423     | 2025-05-15 11:50 | completed | Order-delivered    |
| 83  | 68241e03568cac98d7e4a5b6 | 1422     | 2025-05-14 10:07 | completed | Order-delivered    |
| 84  | 68241d5c5ea5529030690ea2 | 1421     | 2025-05-14 10:04 | completed | Order-delivered    |
| 85  | 68241cf4c08caa3c40e4f99d | 1420     | 2025-05-14 10:03 | completed | Order-delivered    |
| 86  | 68241c8839da7cd0b341b527 | 1419     | 2025-05-14 10:01 | completed | Order-delivered    |
| 87  | 68241a50e16c8071c7104bd4 | 1418     | 2025-05-14 09:52 | completed | Order-delivered    |
| 88  | 682419d4209dbf2b4d35d0b2 | 1417     | 2025-05-14 09:49 | completed | Order-delivered    |
| 89  | 6824183448546c09ac00305f | 1416     | 2025-05-14 09:42 | completed | Order-delivered    |
| 90  | 68240f96c3b2d3faf6baefdd | 1415     | 2025-05-14 09:06 | completed | Order-delivered    |
| 91  | 68240f1e48546c09acfe3e8a | 1414     | 2025-05-14 09:04 | completed | Order-delivered    |
| 92  | 68240ecdc3b2d3faf6bacb9e | 1413     | 2025-05-14 09:02 | completed | Order-delivered    |
| 93  | 68240c1e8850953698bbc3fe | 1412     | 2025-05-14 08:51 | completed | Order-delivered    |
| 94  | 68240bd448546c09acfd86e8 | 1411     | 2025-05-14 08:50 | completed | Order-delivered    |
| 95  | 68240b81e16c8071c70d2efe | 1410     | 2025-05-14 08:48 | completed | Order-delivered    |
| 96  | 68240adbe92603dfb62e60e0 | 1409     | 2025-05-14 08:45 | completed | Order-delivered    |
| 97  | 68240a6462ccada761d0a58d | 1408     | 2025-05-14 08:44 | completed | Order-delivered    |
| 98  | 682409fe8850953698bb51f7 | 1407     | 2025-05-14 08:42 | completed | Order-delivered    |
| 99  | 68240990e16c8071c70cc8eb | 1406     | 2025-05-14 08:40 | completed | Order-delivered    |
| 100 | 6824092c209dbf2b4d324f55 | 1405     | 2025-05-14 08:38 | completed | Order-delivered    |
| 101 | 682408c2c08caa3c40e09b67 | 1404     | 2025-05-14 08:37 | completed | Order-delivered    |
| 102 | 6824085ec3b2d3faf6b97515 | 1403     | 2025-05-14 08:35 | completed | Order-delivered    |
| 103 | 682407f639da7cd0b33d57fa | 1402     | 2025-05-14 08:33 | completed | Order-delivered    |
| 104 | 68240765c3b2d3faf6b94940 | 1401     | 2025-05-14 08:31 | completed | Order-delivered    |
| 105 | 682405448850953698ba9191 | 1400     | 2025-05-14 08:22 | completed | Order-delivered    |
| 106 | 682404fec3b2d3faf6b8fb7b | 1399     | 2025-05-14 08:20 | completed | Order-delivered    |
| 107 | 6824048a48546c09acfc5410 | 1398     | 2025-05-14 08:19 | completed | Order-delivered    |
| 108 | 6824042048546c09acfc4503 | 1397     | 2025-05-14 08:17 | completed | Order-delivered    |
| 109 | 682403c8c08caa3c40dfe007 | 1396     | 2025-05-14 08:15 | completed | Order-delivered    |
| 110 | 6824037139da7cd0b33cbb4f | 1395     | 2025-05-14 08:14 | completed | Order-delivered    |
| 111 | 6822c14a9b10e6f623433683 | 1394     | 2025-05-13 09:19 | completed | Order-delivered    |
| 112 | 6822c0e1b4a1eac2446fda7f | 1393     | 2025-05-13 09:18 | completed | Order-delivered    |
| 113 | 6822c07761f4eafa297a807f | 1392     | 2025-05-13 09:16 | completed | Order-delivered    |
| 114 | 6822bfbe7b54d627ef8c72b4 | 1391     | 2025-05-13 09:13 | completed | Order-delivered    |
| 115 | 6822bf157b54d627ef8c4bdb | 1390     | 2025-05-13 09:10 | completed | Order-delivered    |
| 116 | 6822be8924e3bcd97da0502d | 1389     | 2025-05-13 09:08 | completed | Order-delivered    |
| 117 | 6822bbd89d372788da017656 | 1388     | 2025-05-13 08:56 | completed | Order-delivered    |
| 118 | 6822bb7d24e3bcd97d9fa6c2 | 1387     | 2025-05-13 08:55 | completed | Order-delivered    |
| 119 | 6822bb1478d51fbe8d4dc2fd | 1386     | 2025-05-13 08:53 | completed | Order-delivered    |
| 120 | 6822baa2b4a1eac2446e7935 | 1385     | 2025-05-13 08:51 | completed | Order-delivered    |
| 121 | 6822ba3a78d51fbe8d4d96b1 | 1384     | 2025-05-13 08:49 | completed | Order-delivered    |
